urls,title,company_name,experience,location,keyskills
https://www.naukri.com/job-listings-websphere-data-interchange-engineer-mainframe-z-os-nusecond-technologies-chennai-pune-bengaluru-bangalore-3-to-8-years-061020906111?src=jobsearchDesk&sid=16068097239945666&xp=20&px=4,WebSphere Data Interchange Engineer - Mainframe/ z/ OS,NuSecond Technologies,3-8 Yrs,"Chennai, Pune, Bengaluru","IT Skills,Testing,Mainframe,z/OS,JCL,Communication Protocols,DB2,XML"
https://www.naukri.com/job-listings-websphere-data-interchange-engineer-mainframe-z-os-nusecond-technologies-chennai-pune-bengaluru-bangalore-3-to-8-years-061020906111?src=jobsearchDesk&sid=16068097295196829&xp=1&px=5,WebSphere Data Interchange Engineer - Mainframe/ z/ OS,NuSecond Technologies,3-8 Yrs,"Chennai, Pune, Bengaluru","IT Skills,Testing,Mainframe,z/OS,JCL,Communication Protocols,DB2,XML"
https://www.naukri.com/job-listings-mainframe-developer-ilabz-technology-llp-pune-delhi-bengaluru-bangalore-3-to-7-years-101120004887?src=jobsearchDesk&sid=16068097295196829&xp=2&px=5,Mainframe Developer,ILABZ TECHNOLOGY LLP,3-7 Yrs,"Pune, Delhi, Bengaluru","developer,Mainframes"
https://www.naukri.com/job-listings-mainframe-qa-legato-health-technologies-bglr-hyd-careernet-technologies-pvt-ltd-bengaluru-bangalore-hyderabad-secunderabad-2-to-4-years-211120000576?src=jobsearchDesk&sid=16068097295196829&xp=3&px=5,Mainframe QA_Legato Health technologies_Bglr/Hyd,Careernet Technologies Pvt Ltd,2-4 Yrs,"Bengaluru, Hyderabad","mainframe test,mainframe tester,mainframe qa"
https://www.naukri.com/job-listings-immediate-openings-for-informatica-developer-mainframe-developer-ilabz-technology-llp-bengaluru-bangalore-3-to-8-years-291118600563?src=jobsearchDesk&sid=16068097295196829&xp=4&px=5,"Immediate openings For Informatica developer, Mainframe developer",ILABZ TECHNOLOGY LLP,3-8 Yrs,Bengaluru,"informatica,Mainframes"
https://www.naukri.com/job-listings-mainframe-testing-diverse-lynx-bengaluru-bangalore-4-to-6-years-070520500709?src=jobsearchDesk&sid=16068097295196829&xp=5&px=5,Mainframe Testing,Diverse Lynx,4-6 Yrs,Bengaluru,"IT Skills,Testing,Mainframe,Db2,Mainframe testing,REXX,Cobol,Programming"
https://www.naukri.com/job-listings-mainframe-mvs-db2-squircle-it-consulting-services-pvt-ltd-bengaluru-bangalore-10-to-13-years-010717501840?src=jobsearchDesk&sid=16068097295196829&xp=6&px=5,Mainframe MVS / DB2,Squircle IT Consulting Services Pvt Ltd,10-13 Yrs,Bengaluru,"Technical product configuration,c++,C,design,MySQL,JavaScript,integration PHP,HTML"
https://www.naukri.com/job-listings-mainframe-storage-administrator-sme-squircle-it-consulting-services-pvt-ltd-bengaluru-bangalore-10-to-15-years-010717501732?src=jobsearchDesk&sid=16068097295196829&xp=7&px=5,Mainframe Storage Administrator - SME,Squircle IT Consulting Services Pvt Ltd,10-15 Yrs,Bengaluru,"Technical product configuration,c++,C,design,MySQL,JavaScript,integration PHP,HTML"
https://www.naukri.com/job-listings-production-support-dot-net-mainframe-hyrefox-consultants-pvt-ltd-bengaluru-bangalore-2-to-5-years-211119501275?src=jobsearchDesk&sid=16068097295196829&xp=8&px=5,Production Support - Dot Net / Mainframe,HyreFox Consultants Pvt Ltd,2-5 Yrs,Bengaluru,"BPO,Selection process,Production support,ITES"
https://www.naukri.com/job-listings-mainframe-sme-squircle-it-consulting-services-pvt-ltd-bengaluru-bangalore-12-to-17-years-010817500007?src=jobsearchDesk&sid=16068097295196829&xp=9&px=5,Mainframe - SME,Squircle IT Consulting Services Pvt Ltd,12-17 Yrs,Bengaluru,"AIX,Demand,Team Lead,pay,Technical Lead,Subject Matter Expert,WHO,Open"
https://www.naukri.com/job-listings-dxc-technology-mainframe-developer-with-pplus-exp-3-to-8-dxc-technology-india-private-limited-chennai-bengaluru-bangalore-hyderabad-secunderabad-noida-3-to-8-years-151020602603?src=jobsearchDesk&sid=16068097295196829&xp=10&px=5,DXC Technology || Mainframe Developer with Pplus Exp 3 To 8,DXC,3-8 Yrs,"Chennai, Bengaluru, Hyderabad, Noida","PPLUS,Performance Plus,JCL,Db2,Cobol"
https://www.naukri.com/job-listings-dxc-technology-mainframe-developer-with-pplus-exp-3-to-8-dxc-technology-india-private-limited-chennai-bengaluru-bangalore-hyderabad-secunderabad-noida-3-to-8-years-151020002601?src=jobsearchDesk&sid=16068097295196829&xp=11&px=5,DXC Technology || Mainframe Developer with Pplus Exp 3 To 8,DXC,3-8 Yrs,"Chennai, Bengaluru, Hyderabad, Noida","PPLUS,Performance Plus,JCL,Db2,Cobol"
https://www.naukri.com/job-listings-openings-with-mnc-l5-companies-on-mainframes-growel-softech-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-4-to-8-years-051120000127?src=jobsearchDesk&sid=16068097295196829&xp=12&px=5,Job openings with MNC L5 companies on mainframes,Growel Softech Pvt. Ltd.,4-8 Yrs,"Chennai, Bengaluru, Hyderabad","Cobol,Version Control,Mainframes"
